agent_id,scenario,benefit,cost,efficiency,initial_type,effort,free_rider
0,critical_infrastructure,0.8796137360974456,0.577698155696013,0.7981554642764059,active_contributor,0.06617166100962038,False
1,critical_infrastructure,1.933406225449187,0.2561220321063682,0.7332134627345275,passive_user,0.2830256848762117,False
2,critical_infrastructure,5.903778197890161,1.3451540042428465,0.8941557578031986,active_contributor,0.18275714722426745,False
3,critical_infrastructure,1.333023471561883,2.7642599962739878,0.785611501972639,passive_user,0.01972681238793468,True
4,critical_infrastructure,1.0785861434050847,2.0435105899981716,0.7982102692648017,conditional_contributor,0.021758207126295694,False
5,critical_infrastructure,0.7847263627631675,1.614362348155919,1.1279705749589692,active_contributor,0.03283056685779787,False
6,critical_infrastructure,3.322680697857463,0.6207860522172473,0.6831434403398662,active_contributor,0.17387563515973187,False
7,critical_infrastructure,1.129234648109866,0.7058016973170164,0.771336113758139,conditional_contributor,0.06503724926099101,False
8,critical_infrastructure,1.540645852643407,1.556658376469394,0.7873088153643371,active_contributor,0.03894575759004219,True
9,critical_infrastructure,0.412641406581097,0.7628938870790314,1.1233281709684508,passive_user,0.04125846618379026,False
10,critical_infrastructure,1.116505331337151,0.14350587101296686,0.6732322939021348,passive_user,0.2808085591656571,False
11,critical_infrastructure,1.9370818558995098,2.9921754231115094,1.1914169925164926,passive_user,0.0367738307834741,True
12,critical_infrastructure,1.138982744534248,1.850899386221194,0.9716226708971449,passive_user,0.031819841252181603,False
13,critical_infrastructure,1.5349413857966832,2.047836971277276,0.9296987423103524,conditional_contributor,0.0365056864692508,True
14,critical_infrastructure,0.62911924041312,1.06692585136333,0.9786299035392954,conditional_contributor,0.031569335085284665,False
15,critical_infrastructure,1.1528517212435676,1.1774228020064421,1.0701471211432843,conditional_contributor,0.05575119995179506,True
16,critical_infrastructure,0.9310085495343412,0.6023878802991308,1.1444485749105786,active_contributor,0.09947814099950983,False
17,critical_infrastructure,0.3961922467581422,2.2744613907112843,0.8495775192521468,conditional_contributor,0.011800170161530411,False
18,critical_infrastructure,0.7687391399255925,3.0093885722236258,0.6598474601313216,passive_user,0.010542415092861034,False
19,critical_infrastructure,0.7789857278317271,0.5819667009650095,1.2106697544889724,active_contributor,0.08077138904690825,False
20,critical_infrastructure,2.6991663111206603,1.9983960033293195,0.8203902478358953,conditional_contributor,0.05197960146267452,True
21,critical_infrastructure,0.7932132140694658,0.9986056349748399,0.8949452696769603,passive_user,0.04340443152479613,False
22,critical_infrastructure,2.1650312517900274,1.5251408173108438,0.9818177572050959,active_contributor,0.06664789332476914,True
23,critical_infrastructure,1.0522874835467793,4.467385870016004,0.6681447876199096,conditional_contributor,0.00962736980471917,False
24,critical_infrastructure,1.0820071847056683,0.4597730293339693,1.1372685406433813,passive_user,0.1432496496820775,False
25,critical_infrastructure,1.775697545715639,2.2724031607198047,1.1726045908282008,conditional_contributor,0.04715868544870752,True
26,critical_infrastructure,2.092252877736851,1.1758515949913555,1.099805313480339,conditional_contributor,0.09215362998680363,False
27,critical_infrastructure,3.8555826735688097,1.4344211415785335,1.2355539551043562,conditional_contributor,0.1554734583366798,False
28,critical_infrastructure,0.8091983418234745,0.7247355334831209,1.0256165971609392,passive_user,0.06020579317172752,False
29,critical_infrastructure,3.7299582440316033,0.6789105509339748,1.073559234304968,conditional_contributor,0.2694397424964196,False
30,critical_infrastructure,0.8226230102802492,0.430732992945854,1.220157279595551,conditional_contributor,0.1137317928388152,False
31,critical_infrastructure,1.6195326482246297,0.6933467865542655,1.1308456502553157,conditional_contributor,0.12664717144446677,False
32,critical_infrastructure,0.7398718808104573,0.21594412543964972,1.1593349075437849,active_contributor,0.23306388979168724,False
33,critical_infrastructure,1.3303783424713735,0.6295578205188196,0.6859764135366024,conditional_contributor,0.07586703484969473,True
34,critical_infrastructure,0.8128996681286582,0.8424744466856868,0.7194233791506432,passive_user,0.04183030897871994,False
