scenario,policy,mode,final_G,final_H,final_D,avg_G_tail,avg_H_tail,avg_D_tail,avg_free_riding_tail,avg_welfare_tail,avg_policy_cost_tail,avg_Q_tail,avg_effort_tail,avg_effort_gini_tail,stability_tail,subsidy,penalty,source_grid
critical_infrastructure,subsidy_penalty_grid,nash,0.8222611153032438,0.5006392768422163,0.8771914078902647,0.8374812504483171,0.4798934563608065,0.8323388224804363,0.2857142857142857,68.81716552122158,0.35000000000000003,2.4285538659781176,0.07231252592064843,0.44512738376934746,0.001976910108946156,0.0,0.0,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,0.8765193592167764,0.49022564365434546,0.8974123298399623,0.8932562433512269,0.46734602864097313,0.8497429531686993,0.22857142857142856,71.51320157049213,0.4205,2.7191824597486116,0.08157756400311945,0.4052723419054629,0.0008982624114769466,0.0,0.075,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,0.9212380668479019,0.47977672134181626,0.9154599779393384,0.9390290477391321,0.45494597467822884,0.8652687169990224,0.14285714285714285,73.64608831528564,0.47750000000000004,3.0176931565133795,0.09104820427101601,0.38796475263177677,3.919959298449849e-05,0.0,0.15,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,0.9638229780928343,0.4685067189972368,0.9330509699398236,0.9839209737639933,0.4403244176141338,0.8802179587528236,0.05714285714285714,75.69780854606392,0.5209999999999999,3.373148903461499,0.10184131547621386,0.3863713581580389,-0.0007901869353424962,0.0,0.22499999999999998,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,0.9990637250802474,0.45629082449871805,0.9491496466587508,1.017921930029013,0.42778509321670455,0.8941016797050902,0.05714285714285714,77.18101611418322,0.5780000000000001,3.7235179584156075,0.11315876124869914,0.3879657717417588,-0.001410269503790168,0.0,0.3,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,1.0271914599927006,0.44648657715876056,0.964256602451712,1.0475135615314268,0.4158276500648711,0.9071449468596131,0.0,78.45745677731058,0.6125,4.071808755767719,0.1242406347144848,0.39061528255087113,-0.001935321166786741,0.0,0.375,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,1.054838554890774,0.43447264723758217,0.9773167414158858,1.0749448655144205,0.4025100198622289,0.918199627815632,0.0,79.60811560390543,0.665,4.457029334993541,0.13633957505751368,0.39596908082293564,-0.002432605701278595,0.0,0.44999999999999996,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,1.075640707235401,0.4254668160269376,0.9901340111610927,1.0967958884410733,0.3914752332212604,0.9292664462791052,0.0,80.4816582025658,0.7175,4.811332776682905,0.14775819752677505,0.4051938538735237,-0.0028148631196430185,0.0,0.525,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,1.098104140434231,0.41342423771793746,1.0016494405217955,1.119249832108702,0.37808134712705765,0.9389459479090616,0.0,81.38294444308713,0.7699999999999999,5.239929248964223,0.161047711788491,0.4099295962286811,-0.0032244519875458677,0.0,0.6,synthetic_sensitivity_2d_subsidy_penalty.csv
critical_infrastructure,subsidy_penalty_grid,nash,1.038388683330059,0.4498592045137218,0.9641368984516793,1.0574935056149708,0.41948165413051364,0.9068835819676981,0.2,78.81603593772493,0.6967743465394088,4.349768699764262,0.13210451296739384,0.42508912208819305,-0.0021867957934401383,0.075,0.0,synthetic_sensitivity_2d_subsidy_penalty.csv
