time,scenario,policy,G,H,welfare,run
0,critical_infrastructure,baseline,0.8522840907275014,0.24204595320139938,71.91488888784554,0
1,critical_infrastructure,baseline,1.0008124278357287,0.19851729166121224,79.06476915731467,0
2,critical_infrastructure,baseline,1.088377569122577,0.18452682229131723,82.79045082966223,0
3,critical_infrastructure,baseline,1.1371168783568035,0.18703767808554506,84.64798392622069,0
4,critical_infrastructure,baseline,1.162126258812045,0.1980440451838272,85.4649608295072,0
5,critical_infrastructure,baseline,1.1728922471510017,0.21328520260721429,85.69182113020842,0
6,critical_infrastructure,baseline,1.1752030799543884,0.22790508092255052,85.61093614293752,0
7,critical_infrastructure,baseline,1.1731573840698284,0.24488726121443205,85.34153519812452,0
8,critical_infrastructure,baseline,1.1682588776762763,0.2594612772991718,84.99378188541121,0
9,critical_infrastructure,baseline,1.162382152741402,0.2716720036219846,84.63581402089727,0
10,critical_infrastructure,baseline,1.15651994953719,0.28472050722158665,84.26773419648865,0
11,critical_infrastructure,baseline,1.1504834769101335,0.3016382919449194,83.84791017331746,0
12,critical_infrastructure,baseline,1.14349275635604,0.3163254834971363,83.41685339485733,0
13,critical_infrastructure,baseline,1.1365035568669863,0.3280334998526845,83.01853826194817,0
14,critical_infrastructure,baseline,1.1301900095622228,0.341701918776605,82.62205296320218,0
15,critical_infrastructure,baseline,1.1237989931442056,0.35433341836347093,82.23353366512262,0
16,critical_infrastructure,baseline,1.1176046000764497,0.3658312774138273,81.86439336828178,0
17,critical_infrastructure,baseline,1.1117722440239712,0.37586440231910667,81.52491416556663,0
18,critical_infrastructure,baseline,1.1064621977050741,0.3869650838884695,81.19244993842851,0
19,critical_infrastructure,baseline,1.1011897693600534,0.3977683375945627,80.86414828989335,0
20,critical_infrastructure,baseline,1.0960062873038754,0.4075392137591631,80.5503526735725,0
21,critical_infrastructure,baseline,1.0911031526403492,0.41578824471796927,80.26417431827481,0
22,critical_infrastructure,baseline,1.0866898743684097,0.42396412043800424,79.9973499700607,0
23,critical_infrastructure,baseline,1.082550633789229,0.4357048024395764,79.69994654541011,0
24,critical_infrastructure,baseline,1.0777565198480787,0.44412158157895437,79.41441747158113,0
25,critical_infrastructure,baseline,1.0733669992146224,0.45464621122060195,79.11992332273621,0
26,critical_infrastructure,baseline,1.068717228701019,0.4660483044852034,78.80456871592577,0
27,critical_infrastructure,baseline,1.0637360611936277,0.4776157595847329,78.47345520453264,0
28,critical_infrastructure,baseline,1.0585461586846978,0.48874058002800647,78.13828188958003,0
29,critical_infrastructure,baseline,1.053347833869711,0.4973691033456529,77.83052981726532,0
0,critical_infrastructure,reputation,1.0387612858959823,0.15365501694116757,79.8763467207921,0
1,critical_infrastructure,reputation,1.2643204621144786,0.041033295041746076,89.73564118629537,0
2,critical_infrastructure,reputation,1.349608304276894,0.0,93.1330136317006,0
3,critical_infrastructure,reputation,1.3745215323153754,0.0,93.96262217094367,0
