scenario,policy,mode,final_G,final_H,final_D,avg_G_tail,avg_H_tail,avg_D_tail,avg_free_riding_tail,avg_welfare_tail,avg_policy_cost_tail,avg_Q_tail,avg_effort_tail,avg_effort_gini_tail,stability_tail,parameter,value
critical_infrastructure,sensitivity_delta,nash,0.8537968221751799,0.5183312944190581,0.8488774592681041,0.8676442014847116,0.4992598246851184,0.8154757922835751,0.2857142857142857,70.37788063540502,0.0,2.3539589478963774,0.0700903001744897,0.4492117077356257,0.0019412872207509452,delta,0.03
critical_infrastructure,sensitivity_delta,nash,0.843984788234859,0.5156686506267326,0.8472675978452101,0.8576340794202921,0.4966161394368254,0.8140940944707111,0.2857142857142857,69.93375712314173,0.0,2.378890691870692,0.07083010302338522,0.44945047727933324,0.001935845785097992,delta,0.034999999999999996
critical_infrastructure,sensitivity_delta,nash,0.8343836955728758,0.5130651638781597,0.8456902621988029,0.8478399858178248,0.4940332042449076,0.8127396634671034,0.2857142857142857,69.49507810248917,0.0,2.40333460065769,0.07155544519564935,0.44967903198671855,0.0019311034157639129,delta,0.039999999999999994
critical_infrastructure,sensitivity_delta,nash,0.8249867584302419,0.5105185169741056,0.8441446299637538,0.8382549345953578,0.4915085149132591,0.8114118336909599,0.2857142857142857,69.06173389805008,0.0,2.4273101411040834,0.07226690317068774,0.449897454511843,0.0019269627569755976,delta,0.045
critical_infrastructure,sensitivity_delta,nash,0.8157875188848805,0.5080265387026464,0.8426299011389303,0.8288722809823985,0.48903973279624535,0.8101099563880958,0.2857142857142857,68.63361947795318,0.0,2.4508355161048634,0.07296501602540809,0.45010642610326784,0.0019233395675882642,delta,0.049999999999999996
critical_infrastructure,sensitivity_delta,nash,0.8067798226258752,0.5055871907133258,0.8411452977285263,0.8196856958733463,0.4866246693835351,0.8088333994897929,0.2857142857142857,68.21063404908193,0.0,2.4739277785517224,0.07365028880440802,0.4503065669145385,0.001920160879399474,delta,0.05499999999999999
critical_infrastructure,sensitivity_delta,nash,0.7979577972417036,0.5031985558913956,0.8396900633200253,0.8106891428803195,0.4842612726944284,0.8075815474002273,0.2857142857142857,67.79268069997431,0.0,2.4966029323706738,0.07432319550846056,0.45049844281225127,0.00191736343789832,delta,0.06
critical_infrastructure,sensitivity_delta,nash,0.7893158326973411,0.5008588280290731,0.8382634626173803,0.8018768577333919,0.4819476152306501,0.8063538007315937,0.2857142857142857,67.37966608504239,0.0,2.518876022385813,0.0749841817526316,0.45068257128329636,0.001914892377281971,delta,0.065
critical_infrastructure,sensitivity_delta,nash,0.7808485637238538,0.4985663026221623,0.8368647809437196,0.7932433297292335,0.47968188327637806,0.805149576001015,0.2857142857142857,66.97150014469759,0.0,2.540761214477817,0.07563366713743505,0.450859426578452,0.0019127000907096792,delta,0.06999999999999999
critical_infrastructure,sensitivity_alpha,nash,0.46497809732089307,0.4570643673167464,0.7794534949446328,0.48173551092391975,0.4436680246027017,0.7563349947823224,0.28214285714285714,48.81587933052886,0.0,2.6293023831845543,0.07826140458622102,0.45153588258427424,0.01306431630218216,alpha,0.46799999999999997
critical_infrastructure,sensitivity_alpha,nash,0.5818760615352309,0.47481292217326865,0.7996235212326519,0.597821242157191,0.4595096693525226,0.7735309826421448,0.2857142857142857,56.32110064319313,0.0,2.5564376418385804,0.07609890421555957,0.45098282149012586,0.008401948128117204,alpha,0.5459999999999999
critical_infrastructure,sensitivity_alpha,nash,0.6759279237940702,0.4884515541760365,0.8164756122919454,0.6908621493751932,0.47164283826060355,0.7878758411303888,0.2857142857142857,61.63826662462293,0.0,2.5088141520099745,0.07468558114809895,0.4505993949158695,0.0054860644939964814,alpha,0.6239999999999999
critical_infrastructure,sensitivity_alpha,nash,0.7525174402983138,0.4992574830447841,0.8306322736846043,0.7664792165459466,0.481245949632099,0.7999144566520869,0.2857142857142857,65.58867812899032,0.0,2.4754435072591594,0.07369526969217632,0.4503193133549591,0.0034455681011121564,alpha,0.702
critical_infrastructure,sensitivity_alpha,nash,0.8157875188848805,0.5080265387026464,0.8426299011389303,0.8288722809823985,0.48903973279624535,0.8101099563880958,0.2857142857142857,68.63361947795318,0.0,2.4508355161048634,0.07296501602540809,0.45010642610326784,0.0019233395675883197,alpha,0.7799999999999999
critical_infrastructure,sensitivity_alpha,nash,0.8687920404538281,0.5152815170079179,0.8528951709626906,0.8810956845939578,0.4954915825096723,0.8188285684314207,0.2857142857142857,71.04974833803296,0.0,2.431981069574789,0.07240551099982852,0.44993952808386894,0.0007383995313732933,alpha,0.8579999999999999
critical_infrastructure,sensitivity_alpha,nash,0.9137715349368596,0.5213805724110196,0.8617598269254161,0.9253777813781547,0.5009193629494109,0.8263541175348241,0.2857142857142857,73.01234182423667,0.0,2.417097957817882,0.07196386112191938,0.4498053975345588,-0.00021286447640657402,alpha,0.9359999999999999
critical_infrastructure,sensitivity_alpha,nash,0.9523836386264912,0.5265774009993394,0.8694811105247625,0.9633635086172241,0.5055475073422617,0.8329062663021343,0.2857142857142857,74.63751599639356,0.0,2.4050644345644256,0.07160677542542487,0.44969537349859734,-0.0009947654448314303,alpha,1.0139999999999998
critical_infrastructure,sensitivity_alpha,nash,0.985871011657871,0.5310567153353132,0.8762595585957266,0.9962847429370648,0.5095392497369922,0.8386560515274368,0.2857142857142857,76.00508219503824,0.0,2.395140475788116,0.07131229209964018,0.44960355810331204,-0.001649616783463731,alpha,1.0919999999999999
critical_infrastructure,sensitivity_eta,nash,0.9571506639627925,0.5428047031806578,0.8608354571927038,0.9658130094566051,0.5221898932324793,0.8251895720937885,0.2857142857142857,74.56147249611587,0.0,2.116159355453515,0.06303487939819431,0.4470631057786738,-0.0018809609668807292,eta,0.18
critical_infrastructure,sensitivity_eta,nash,0.9202120573253694,0.5336036629075163,0.8561174530265212,0.9300564574943755,0.5134051248755601,0.8212904084604596,0.2857142857142857,73.08541187086558,0.0,2.203090261106181,0.06561389817921795,0.4478380848760544,-0.0009749745468557725,eta,0.21
critical_infrastructure,sensitivity_eta,nash,0.8843976350286855,0.5247730263043202,0.851513460064119,0.8953718007240903,0.5049840331996076,0.8174796518529124,0.2857142857142857,71.60676646824331,0.0,2.2875765352266413,0.06812060116473534,0.44857274741530023,-4.18659634248697e-05,eta,0.24
critical_infrastructure,sensitivity_eta,nash,0.8496138174965966,0.5162610412980817,0.8470188835332423,0.861667697328174,0.496875780521496,0.8137538061481898,0.2857142857142857,70.12339868014391,0.0,2.370042636811613,0.07056755051991415,0.449366819621664,0.0009227128058988537,eta,0.27
critical_infrastructure,sensitivity_eta,nash,0.8157875188848805,0.5080265387026464,0.8426299011389303,0.8288722809823985,0.48903973279624535,0.8101099563880958,0.2857142857142857,68.63361947795318,0.0,2.4508355161048634,0.07296501602540809,0.45010642610326784,0.0019233395675882642,eta,0.3
critical_infrastructure,sensitivity_eta,nash,0.7828613312078652,0.5000362880583411,0.838343328668161,0.7969286401106774,0.4814429294369856,0.8065456701295101,0.2857142857142857,67.13610218515082,0.0,2.5302432655740947,0.07532152646017891,0.45077451086308673,0.0029649459083398444,eta,0.32999999999999996
critical_infrastructure,sensitivity_eta,nash,0.7507900872984575,0.49226315426272943,0.8341565144369346,0.7657915836756528,0.4740583102784895,0.8030589196049027,0.2857142857142857,65.62982345765334,0.0,2.6085082095101852,0.07764425660343044,0.4513823290565626,0.004052944127003327,eta,0.36
critical_infrastructure,sensitivity_eta,nash,0.719538335230089,0.48468477993005643,0.8300672546458846,0.7354252636180294,0.46686344261658747,0.7996480191116169,0.26428571428571423,64.11402247489923,0.0,2.6858362888458727,0.07993930471856253,0.4519423330042782,0.005193367506491811,eta,0.39
critical_infrastructure,sensitivity_eta,nash,0.6890784305918891,0.47728262297673907,0.8260737241057332,0.7058013822435314,0.459839587961548,0.796311573697274,0.2571428571428571,62.58817259860543,0.0,2.7624039056898435,0.08221189493409922,0.45246445751246256,0.006393034584063914,eta,0.42
critical_infrastructure,sensitivity_lambda,nash,0.9652037909787246,0.32407777009921984,0.944936067461787,0.9821502152775994,0.3006900225480197,0.8961103283243381,0.2857142857142857,77.99924840933109,0.0,2.0701423345431453,0.0616697755267213,0.4466269093550149,-0.0030661984699576483,lambda,0.264
critical_infrastructure,sensitivity_lambda,nash,0.9208822545426616,0.3790900740370019,0.9143899399585613,0.936934550985445,0.3566775975210388,0.87066157545546,0.2857142857142857,75.32468208749201,0.0,2.1817782130580485,0.0649816089333177,0.44764913836737186,-0.0014883585781555742,lambda,0.308
critical_infrastructure,sensitivity_lambda,nash,0.8818513171981205,0.4272588602905954,0.8875720521649232,0.8969229417223998,0.40596377413918006,0.8481559369041205,0.2857142857142857,72.89840549238815,0.0,2.2808237022279325,0.06792024130243382,0.44851614293805486,-0.00016773854618146178,lambda,0.352
critical_infrastructure,sensitivity_lambda,nash,0.8470761700640405,0.4699050496609214,0.8638232108758224,0.8611465500357385,0.4497697999862969,0.8281018884561577,0.2857142857142857,70.67884575671542,0.0,2.369880864787337,0.0705627518135317,0.44936471002626244,0.0009553257525743569,lambda,0.396
critical_infrastructure,sensitivity_lambda,nash,0.8157875188848805,0.5080265387026464,0.8426299011389303,0.8288722809823985,0.48903973279624535,0.8101099563880958,0.2857142857142857,68.63361947795318,0.0,2.4508355161048634,0.07296501602540809,0.45010642610326784,0.0019233395675882642,lambda,0.44
critical_infrastructure,sensitivity_lambda,nash,0.7874007356883466,0.5423888739474678,0.8235873357676241,0.7995348912388516,0.5245108172030783,0.7938686931771597,0.2857142857142857,66.73717100043677,0.0,2.525093665525124,0.07516870098711119,0.4507333314909877,0.0027673598552208495,lambda,0.484
critical_infrastructure,sensitivity_lambda,nash,0.7614627657326699,0.5735885180733586,0.8063725841584033,0.7726910628681563,0.5567656026303271,0.7791265606110191,0.2857142857142857,64.96906699737275,0.0,2.593728860649489,0.07720562612041755,0.4512719834217809,0.0035105908928972362,lambda,0.528
