scenario,policy,mode,final_G,final_H,final_D,avg_G_tail,avg_H_tail,avg_D_tail,avg_free_riding_tail,avg_welfare_tail,avg_policy_cost_tail,avg_Q_tail,avg_effort_tail,avg_effort_gini_tail,stability_tail,subsidy,penalty,threshold,backlog_reduction,policy_template
critical_infrastructure,subsidy_penalty_grid,nash,0.779292592403527,0.5572865364291876,0.9333324659790472,0.7971924694932343,0.5325017778184489,0.8947916122736823,0.2857142857142857,66.51918632616379,0.0,2.527716579698135,0.07524654454820416,0.45075318480844806,0.002940068776953103,0.0,0.0,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,0.8206010643639331,0.5518009047879078,0.9484880108562633,0.8397363058619992,0.5254718230886358,0.9078529207400181,0.22857142857142856,68.66458698082442,0.018,2.749455741448406,0.08273914358947118,0.41847584866117055,0.0021004816495495127,0.0,0.075,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,0.8581888676346923,0.5453533357630344,0.9622803290688735,0.8779012779611097,0.5178281521080713,0.919670860426246,0.175,70.53536515921479,0.027562499999999997,2.9854855587044007,0.09064332975157592,0.40511955678039624,0.0013662264591803724,0.0,0.15,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,0.8930617895518167,0.5388568580566937,0.9760321783320882,0.9135162677450868,0.509687047352613,0.9314558219197485,0.14285714285714285,72.2325807326025,0.033749999999999995,3.248170438119649,0.0993126765746657,0.40394410051154983,0.0006960932286234484,0.0,0.22499999999999998,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,0.9246602631763183,0.5319451534509972,0.9886840780518066,0.9459057336355632,0.5009507078865731,0.942212469802465,0.10714285714285715,73.74645998535004,0.03375,3.5319299150456924,0.10838999263862623,0.4116499964120708,9.338891167291752e-05,0.0,0.3,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,0.9529205508934675,0.5251228347812407,1.0008488548171126,0.9760782957820503,0.49191410595402274,0.9525506812872895,0.07857142857142857,75.12370137384818,0.0309375,3.8328646270140174,0.1180895639319094,0.4216263059662453,-0.00045595935451302194,0.0,0.375,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,0.9773034364415091,0.5183602702541786,1.01227065711801,0.9999906177426605,0.48451222575754826,0.9624170739702842,0.039285714285714285,76.18511281617504,0.018562499999999996,4.114192218433194,0.1274776928594391,0.43916173947854253,-0.0008817686932952873,0.0,0.44999999999999996,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,0.9993959899729182,0.5110322915834763,1.022329582594952,1.0212831135499438,0.47682843733680547,0.9710330313786621,0.039285714285714285,77.09547928260376,0.021656250000000002,4.413339503911091,0.1372540453431052,0.4575075517070236,-0.001267092779249357,0.0,0.525,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,1.0197797659495045,0.5043078178533885,1.032758089780382,1.0416134621739785,0.4691900806483032,0.980000531942791,0.0,77.96775091268267,0.0,4.729990551572836,0.14743730677081537,0.47344570257578467,-0.0016271458918823145,0.0,0.6,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,1.0004041753842619,0.5104451067188465,1.0220071085769693,1.0218962284198863,0.4762829302017827,0.9706657749789318,0.2,76.99008903849216,0.35252581572232733,4.422709683164905,0.1342955488466009,0.4271189090241158,-0.0012818954194814824,0.075,0.0,0.0,0.0,pure_subsidy_penalty_from_baseline
critical_infrastructure,subsidy_penalty_grid,nash,1.0212100508470714,0.5033830071191718,1.0321080666454954,1.042886824697851,0.46802475898946916,0.9792754253919642,0.15714285714285714,77.8722189951535,0.39280697241266926,4.750336444046415,0.14492646568101686,0.40933150135279495,-0.0016571006790165321,0.075,0.075,0.0,0.0,pure_subsidy_penalty_from_baseline
