scenario,policy,mode,final_G,final_H,final_D,avg_G_tail,avg_H_tail,avg_D_tail,avg_free_riding_tail,avg_welfare_tail,avg_policy_cost_tail,avg_Q_tail,avg_effort_tail,avg_effort_gini_tail,stability_tail,baseline_free_riding,baseline_pressure,baseline_welfare,baseline_policy_cost,free_riding_reduction_vs_baseline,pressure_reduction_vs_baseline,welfare_gain_vs_baseline,cost_effectiveness
small_volunteer,baseline,nash,1.1571182084777374,0.0,0.38392301171107734,1.1570747216102861,0.0,0.3630202973334235,0.37142857142857144,59.31126610700415,0.0,1.227387994830302,0.03352980557499787,0.41693564295209345,-0.007890726081121041,0.37142857142857144,0.0,59.31126610700415,0.0,0.0,0.0,0.0,
small_volunteer,subsidy,nash,1.2181632705701186,0.0,0.39231498255758934,1.2181632705701184,0.0,0.37042232301334166,0.0,57.907886733715095,1.9396669458644649,10.003106088111569,0.2770952779806378,0.3890223119988898,-0.00891422184654636,0.37142857142857144,0.0,59.31126610700415,0.0,0.37142857142857144,0.0,-1.4033793732890558,-0.7235156408068819
small_volunteer,penalty,nash,1.205462830240848,0.0,0.3900654273954702,1.2054628283051758,0.0,0.3684037987111198,0.0,59.889764176321194,0.35000000000000003,4.502501065603463,0.12791893134608806,0.47458860173654305,-0.008705965254510534,0.37142857142857144,0.0,59.31126610700415,0.0,0.37142857142857144,0.0,0.5784980693170425,1.6528516266201212
small_volunteer,reputation,nash,1.217464527309699,0.0,0.39218151191136963,1.217464527309697,0.0,0.370302047570111,0.0,59.77984022714972,0.12100215478349852,9.443623423145416,0.2641940085671255,0.3163487504420296,-0.008902845156364886,0.37142857142857144,0.0,59.31126610700415,0.0,0.37142857142857144,0.0,0.46857412014556843,3.872444428646402
small_volunteer,matching_fund,nash,1.1779311515907755,0.0,0.3873225832728919,1.1779295786546682,0.0,0.36606064111971504,0.37142857142857144,59.70934499906142,0.123277519515154,1.2279398168851423,0.03354490326942966,0.41693008020865496,-0.008232510342737198,0.37142857142857144,0.0,59.31126610700415,0.0,0.0,0.0,0.39807889205727065,3.229128016388555
small_volunteer,threshold_governance,nash,1.2499999929895131,0.0,0.39334283420435345,1.2499998543621713,0.0,0.3710816802217249,0.05714285714285714,58.46152579123809,3.0108,2.935250985110123,0.08326711316390135,0.4544223115124264,-0.00895273995526405,0.37142857142857144,0.0,59.31126610700415,0.0,0.3142857142857143,0.0,-0.8497403157660628,-0.2822307412535083
small_volunteer,combined_portfolio,nash,1.245011280669023,0.0,0.39547302003863666,1.245011280669023,0.0,0.37316226575468325,0.0,55.281329598449645,4.669796555919258,12.205056435389814,0.3415813089296706,0.34315066086422896,-0.009173580526867287,0.37142857142857144,0.0,59.31126610700415,0.0,0.37142857142857144,0.0,-4.029936508554506,-0.862979031376926
rapid_growth,baseline,nash,0.8253932721104219,0.5249693237648685,1.0259273504117532,0.8529779053831757,0.483522087469372,0.9305868126862629,0.2,68.4356826108106,0.0,2.5150663507759257,0.07504800604560122,0.5810834713644262,-0.01818753920832164,0.2,0.483522087469372,68.4356826108106,0.0,0.0,0.0,0.0,
rapid_growth,subsidy,nash,1.1248188152683158,0.41413775016100474,1.2152139275060754,1.1524925457322124,0.3452040363999772,1.0827569913522612,0.05714285714285714,79.51940895840266,2.038329029836172,9.678295263826502,0.29118986140516745,0.42963435051098814,-0.02569670719381867,0.2,0.483522087469372,68.4356826108106,0.0,0.14285714285714288,0.13831805106939477,11.083726347592062,5.437653188152309
rapid_growth,penalty,nash,1.0284126224466548,0.46440280546457685,1.1532399333177767,1.0600831998088511,0.40514096077973616,1.0337228479402634,0.02857142857142857,77.59248185326166,0.36050000000000004,5.115358448725422,0.1561103807293584,0.5642252483789849,-0.023293328657548934,0.2,0.483522087469372,68.4356826108106,0.0,0.17142857142857143,0.07838112668963582,9.156799242451058,25.40027529112637
