scenario,perturbed_weight,multiplier,baseline_weight_value,tested_weight_value,Q_NE,Q_SO,free_riding_gap,under_provision_ratio,welfare_loss_ratio,free_riding_ratio_NE,maintenance_pressure_index_NE,social_optimum_valid,G_NE,G_SO,H_NE,H_SO,W_NE,W_SO,free_riding_ratio_SO,maintenance_pressure_index_SO,optimizer_method,warning,all_other_weights,weight_stock_benefit,weight_pressure_relief,weight_penalty_base,weight_penalty_gap,weight_threshold_push
critical_infrastructure,stock_benefit,0.7,0.9,0.63,2.516489603544403,17.452696894237807,0.8558108458082917,0.29527921930891715,0.1651507452939269,0.2857142857142857,0.33208900624106796,True,0.7138966688957162,1.013020601145939,0.33208900624106796,0.15375764611358983,64.63122510792523,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.63,0.85,0.35,2.8,0.1
critical_infrastructure,stock_benefit,0.85,0.9,0.765,2.7708741618370967,17.452696894237807,0.841235186823652,0.28283861896287366,0.15543125255739582,0.2571428571428571,0.3245756120181196,True,0.7264992533368816,1.013020601145939,0.3245756120181196,0.15375764611358983,65.38367558859404,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.765,0.85,0.35,2.8,0.1
critical_infrastructure,stock_benefit,1.0,0.9,0.9,3.0068541510669626,17.452696894237807,0.82771406795819,0.2720267625067333,0.14711840892708497,0.2571428571428571,0.31804588374316967,True,0.7374518866635845,1.013020601145939,0.31804588374316967,0.15375764611358983,66.02722802028036,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.9,0.85,0.35,2.8,0.1
critical_infrastructure,stock_benefit,1.15,0.9,1.035,3.2279262722239617,17.452696894237807,0.8150471361655461,0.26246075166401095,0.13987075195420678,0.22857142857142856,0.3122685732755741,True,0.7471424527180477,1.013020601145939,0.3122685732755741,0.15375764611358983,66.58831727882445,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,1.035,0.85,0.35,2.8,0.1
critical_infrastructure,stock_benefit,1.3,0.9,1.1700000000000002,3.436602919449675,17.452696894237807,0.8030904369522222,0.25387936603527556,0.1334575906307159,0.22857142857142856,0.30708591878829783,True,0.7558355731463343,1.013020601145939,0.30708591878829783,0.15375764611358983,67.08480268719666,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,1.1700000000000002,0.85,0.35,2.8,0.1
critical_infrastructure,pressure_relief,0.7,0.85,0.595,2.9470907638707504,17.452696894237807,0.8311383746747035,0.2747034973054428,0.1492113142759483,0.2571428571428571,0.31966247484115357,True,0.7347402991686875,1.013020601145939,0.31966247484115357,0.15375764611358983,65.8652023180719,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.9,0.595,0.35,2.8,0.1
critical_infrastructure,pressure_relief,0.85,0.85,0.7224999999999999,2.977100859280517,17.452696894237807,0.8294188641834811,0.2733543510559474,0.1481554485659677,0.2571428571428571,0.31884766949776877,True,0.7361070121133851,1.013020601145939,0.31884766949776877,0.15375764611358983,65.9469438947707,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.9,0.7224999999999999,0.35,2.8,0.1
critical_infrastructure,pressure_relief,1.0,0.85,0.85,3.0068541510669626,17.452696894237807,0.82771406795819,0.2720267625067333,0.14711840892708497,0.2571428571428571,0.31804588374316967,True,0.7374518866635845,1.013020601145939,0.31804588374316967,0.15375764611358983,66.02722802028036,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.9,0.85,0.35,2.8,0.1
critical_infrastructure,pressure_relief,1.15,0.85,0.9774999999999999,3.0363571211208105,17.452696894237807,0.826023614601174,0.27072004184925225,0.14609956580839728,0.2571428571428571,0.317256700973381,True,0.7387756216095558,1.013020601145939,0.317256700973381,0.15375764611358983,66.10610343231717,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.9,0.9774999999999999,0.35,2.8,0.1
critical_infrastructure,pressure_relief,1.3,0.85,1.105,3.065615983157488,17.452696894237807,0.8243471480806136,0.26943353213744164,0.14509832060903058,0.2571428571428571,0.3164797244314443,True,0.7400788824511942,1.013020601145939,0.3164797244314443,0.15375764611358983,66.18361647255014,77.41664108052665,0.0,0.15375764611358983,scipy.optimize.minimize (L-BFGS-B); social row reused because behavioral weights affect Nash response only,,held at baseline values,0.9,1.105,0.35,2.8,0.1
