scenario,policy,mode,final_G,final_H,final_D,avg_G_tail,avg_H_tail,avg_D_tail,avg_free_riding_tail,avg_welfare_tail,avg_policy_cost_tail,avg_Q_tail,avg_effort_tail,avg_effort_gini_tail,stability_tail,robustness_variant
critical_infrastructure,baseline,nash,0.8348344621219697,0.5241789531561296,0.8625684228272925,0.8524081939227864,0.5065628144637311,0.8338994029366775,0.2857142857142857,69.5592827153577,0.0,2.3893391477319286,0.07114015114502507,0.4495467837960489,0.002157644274455056,low_decay
critical_infrastructure,combined_portfolio,nash,1.3126747693029595,0.31542817688523667,1.1106233289287606,1.3311552299474572,0.26710545890660686,1.0445776993946878,0.0,85.66370744264967,4.587292740567609,10.895530538855546,0.3288746723293876,0.36056916617760293,-0.00689371549479717,low_decay
critical_infrastructure,baseline,nash,0.7805157011067277,0.5095610982406285,0.8534093711022654,0.7968222373292884,0.49206571413360806,0.8260278876090126,0.2857142857142857,66.99874879830341,0.0,2.529074720706885,0.0752868509001672,0.4507638193023581,0.0021357118218630206,high_decay
critical_infrastructure,combined_portfolio,nash,1.2695479666578708,0.30772999533851314,1.0990184792805673,1.287671035570128,0.2601035367619144,1.0348118318882524,0.0,84.25216734248727,4.593787625931893,10.929887590898268,0.32987474722962623,0.36046952231414325,-0.006545932189485265,high_decay
critical_infrastructure,baseline,nash,0.8487080442863746,0.5096840497280404,0.8716120792969962,0.8656388115595468,0.490976164792356,0.8416251329206479,0.28214285714285714,70.38046591183468,0.0,2.6843696595119564,0.0799280994925218,0.449239272559206,0.0013175843634552903,low_cost
critical_infrastructure,combined_portfolio,nash,1.3068560796266022,0.2895354848546883,1.1170443122687563,1.3248813074032708,0.23904495686883082,1.0494673127551986,0.0,85.28719065659233,4.938436822548548,12.756756673377305,0.3829937399300102,0.33578897408360653,-0.007069560176503009,low_cost
critical_infrastructure,baseline,nash,0.7701780863082712,0.5218442632554015,0.8463786097642718,0.787050357551946,0.5052259421940323,0.8200212128673323,0.2857142857142857,66.34329713533185,0.0,2.294819490960454,0.06831141915301177,0.45095795318973997,0.0028907849404023744,high_cost
critical_infrastructure,combined_portfolio,nash,1.2746317636399693,0.331230852971843,1.0921452723765415,1.2932467124073632,0.28551675122357933,1.029370278725555,0.0,84.57588701435753,4.307935345483197,9.435639975816446,0.2858991252978713,0.3692971187153129,-0.006373721644418157,high_cost
critical_infrastructure,baseline,nash,0.6573572298747027,0.6940519546860922,1.0919525308227465,0.6683617938576132,0.6839619442249039,1.0698584019698576,0.2571428571428571,57.71790684010237,0.0,2.8660457408856637,0.08528823313574548,0.45313000911615536,0.006186499625558464,demand_shock
critical_infrastructure,combined_portfolio,nash,1.1975153669019032,0.5624390293019443,1.3833030785536067,1.2105139007748318,0.5313438207042651,1.3210308924402847,0.0,78.14725715234198,4.605375971279178,10.992804235056706,0.33165920135808674,0.3598740368938367,-0.0032577856391874382,demand_shock
