time,policy,active_contributors,conditional_contributors,free_riders,avg_payoff
0,baseline,0.1754124387482446,0.40979399193279664,0.41479356931895883,0.6437150415024189
1,baseline,0.17087154063676158,0.398939506210887,0.43018895315235156,0.6392031575442702
2,baseline,0.16610245883145058,0.3883055945743741,0.44559194659417534,0.6359350557689343
3,baseline,0.16176344840328424,0.3772070230332473,0.46102952856346857,0.6317677976724274
4,baseline,0.15726238842544174,0.36619354201956755,0.4765440695549906,0.6273094212103094
5,baseline,0.15245135931692447,0.35462786549402747,0.49292077518904814,0.6240814973178939
6,baseline,0.14757070737724057,0.3427166330121364,0.5097126596106231,0.6230309135739116
7,baseline,0.14310795944147284,0.33028303382767,0.5266090067308571,0.6169434870469177
8,baseline,0.13842564553930156,0.31873701001499966,0.5428373444456989,0.6131616689196748
9,baseline,0.13406759624456935,0.3061841294333254,0.5597482743221053,0.6071964845723211
10,baseline,0.12968687785784144,0.2938326829748524,0.5764804391673063,0.5972417553127638
11,baseline,0.12517760811907236,0.2813808534641354,0.5934415384167924,0.594129800866265
12,baseline,0.12111840396370864,0.2690858361877167,0.6097957598485747,0.5901623235386274
13,baseline,0.11702027341050415,0.25661895214860264,0.6263607744408931,0.5919394712900462
14,baseline,0.1126820764046869,0.24379374294119122,0.6435241806541218,0.5862111557972509
15,baseline,0.1083805396165318,0.2320762877638578,0.6595431726196105,0.5838649564416963
16,baseline,0.10450749553276227,0.21989463725855185,0.6755978672086859,0.5740463032047979
17,baseline,0.10048676231230391,0.20809045117592176,0.6914227865117741,0.571758098386073
18,baseline,0.09640649677653092,0.19648765888648706,0.707105844336982,0.5740010226316004
19,baseline,0.09251773284785858,0.18531113259042142,0.72217113456172,0.5737707042009148
20,baseline,0.08872871287755815,0.17443959375728632,0.7368316933651554,0.5679331308203661
21,baseline,0.08498591662177242,0.16385614401510348,0.7511579393631241,0.5644664955233715
22,baseline,0.08155431435296064,0.15360131610552588,0.7648443695415135,0.5564007526791003
23,baseline,0.07787471479254593,0.143536266154232,0.7785890190532222,0.5656366718928092
24,baseline,0.07438227772223785,0.13414029798595187,0.7914774242918101,0.5560445692515548
25,baseline,0.07103942127305173,0.12517290962195682,0.8037876691049916,0.552787778445923
26,baseline,0.06775648570716374,0.11649380126846746,0.8157497130243687,0.5572888241658307
27,baseline,0.06445477618673093,0.10823511773698838,0.8273101060762806,0.5505820061493011
28,baseline,0.061293099040805016,0.10047374921486545,0.8382331517443296,0.5500896603595862
29,baseline,0.05818438729346856,0.0931196293469837,0.8486959833595479,0.546449990715983
0,reputation,0.1828156248392189,0.4120903870166285,0.4050939881441526,0.739655041502419
1,reputation,0.1856598218704224,0.403900663353192,0.4104395147763855,0.7399081254448661
2,reputation,0.18822488743713656,0.3962943751680126,0.4154807373948508,0.7413514760675126
3,reputation,0.19123479648437994,0.38852393499589466,0.4202412685197254,0.7421233448140243
4,reputation,0.19402899264638745,0.3811567103966103,0.4248142969570021,0.7424700484042552
5,reputation,0.19642390867296017,0.3735791932262074,0.4299968981008323,0.743362645356706
6,reputation,0.19867505637587946,0.36594881149694225,0.43537613212717824,0.7464659982648569
7,reputation,0.20140886961300783,0.35796529784549047,0.4406258325415017,0.745092132337825
8,reputation,0.20374884917804767,0.3511219838180588,0.44512916700389354,0.7461023646092861
9,reputation,0.20651229322452086,0.34337275786514315,0.45011494891033604,0.7442090492414251
10,reputation,0.2091736002401629,0.3359694260762533,0.4548569736835839,0.7386723950165508
11,reputation,0.2115818419433406,0.3286064867230885,0.4598116713335708,0.7390680497511561
12,reputation,0.21458394976488168,0.32133625733878235,0.46407979289633605,0.7407291393970019
13,reputation,0.21748999102730782,0.31391814828601966,0.46859186068667263,0.746007022535699
14,reputation,0.21997334413910197,0.3061743847348174,0.4738522711260806,0.7420911654506887
